ID,Text,Label
117,"Nice effort, proud of you.",0
118,Tum jaise logon se baat nahi karte.,1
119,You're one of the kindest souls I know.,0
120,Tujhe sharam nahi aati?,1
121,You're awesome!,0
122,Idiot kahi ka!,1
123,Tum bahut accha kaam karte ho.,0
124,"Bas kar nautanki, dimag kharab kar diya.",1
125,Keep it up buddy!,0
126,Itna irritating koi kaise ho sakta hai?,1
127,You're awesome!,0
128,You're such a loser yaar.,1
129,You're awesome!,0
130,Tu pagal ho gaya hai kya?,1
131,"Nice effort, proud of you.",0
132,Tum jaise logon se baat nahi karte.,1
133,Keep it up buddy!,0
134,Idiot kahi ka!,1
135,Tum bahut accha kaam karte ho.,0
136,Idiot kahi ka!,1
137,Kamaal kar diya bhai!,0
138,Bakwas band kar.,1
139,Kamaal kar diya bhai!,0
140,Bakwas band kar.,1
141,"Nice effort, proud of you.",0
142,Tum jaise logon se baat nahi karte.,1
143,You're awesome!,0
144,Tum jaise logon se baat nahi karte.,1
145,Tum bahut accha kaam karte ho.,0
146,Tumhara face dekhne layak nahi hai.,1
147,"Good job, well done!",0
148,Tu pagal ho gaya hai kya?,1
149,"Good job, well done!",0
150,"Bas kar nautanki, dimag kharab kar diya.",1
151,Keep it up buddy!,0
152,Bakwas band kar.,1
153,"Always positive, love that!",0
154,Itna irritating koi kaise ho sakta hai?,1
155,You're awesome!,0
156,Teri aukaat kya hai samjhta hai?,1
157,Tum bahut accha kaam karte ho.,0
158,Itna irritating koi kaise ho sakta hai?,1
159,You're one of the kindest souls I know.,0
160,You're such a loser yaar.,1
161,Tum bahut accha kaam karte ho.,0
162,You're such a loser yaar.,1
163,Thanks for your support yaar.,0
164,You're such a loser yaar.,1
165,"Good job, well done!",0
166,Bakwas band kar.,1
167,Bohot badiya presentation tha!,0
168,Itna irritating koi kaise ho sakta hai?,1
169,"Always positive, love that!",0
170,Itna irritating koi kaise ho sakta hai?,1
171,Thanks for your support yaar.,0
172,Idiot kahi ka!,1
173,"Nice effort, proud of you.",0
174,Tujhe sharam nahi aati?,1
175,Thanks for your support yaar.,0
176,Tumhara face dekhne layak nahi hai.,1
177,"Good job, well done!",0
178,Idiot kahi ka!,1
179,Thanks for your support yaar.,0
180,"Bas kar nautanki, dimag kharab kar diya.",1
181,"Nice effort, proud of you.",0
182,Tum jaise logon se baat nahi karte.,1
183,"Nice effort, proud of you.",0
184,You're such a loser yaar.,1
185,Bohot badiya presentation tha!,0
186,Tu pagal ho gaya hai kya?,1
187,"Nice effort, proud of you.",0
188,Idiot kahi ka!,1
189,Thanks for your support yaar.,0
190,You're such a loser yaar.,1
191,Keep it up buddy!,0
192,Idiot kahi ka!,1
193,Keep it up buddy!,0
194,Tumhara face dekhne layak nahi hai.,1
195,Thanks for your support yaar.,0
196,Teri aukaat kya hai samjhta hai?,1
197,Thanks for your support yaar.,0
198,Tum jaise logon se baat nahi karte.,1
199,"Good job, well done!",0
200,Idiot kahi ka!,1
201,Bohot badiya presentation tha!,0
202,Tumhara face dekhne layak nahi hai.,1
203,Keep it up buddy!,0
204,Teri aukaat kya hai samjhta hai?,1
205,Kamaal kar diya bhai!,0
206,Tujhe sharam nahi aati?,1
207,You're awesome!,0
208,Teri aukaat kya hai samjhta hai?,1
209,Tum bahut accha kaam karte ho.,0
210,Idiot kahi ka!,1
211,You're one of the kindest souls I know.,0
212,Itna irritating koi kaise ho sakta hai?,1
213,Keep it up buddy!,0
214,Bakwas band kar.,1
215,You're awesome!,0
216,Tumhara face dekhne layak nahi hai.,1
217,Thanks for your support yaar.,0
218,Tumhara face dekhne layak nahi hai.,1
219,Tum bahut accha kaam karte ho.,0
220,Tu pagal ho gaya hai kya?,1
221,"Always positive, love that!",0
222,You're such a loser yaar.,1
223,"Always positive, love that!",0
224,Tu pagal ho gaya hai kya?,1
225,Tum bahut accha kaam karte ho.,0
226,You're such a loser yaar.,1
227,"Always positive, love that!",0
228,Tu pagal ho gaya hai kya?,1
229,"Good job, well done!",0
230,Idiot kahi ka!,1
231,"Nice effort, proud of you.",0
232,"Bas kar nautanki, dimag kharab kar diya.",1
233,Kamaal kar diya bhai!,0
234,Itna irritating koi kaise ho sakta hai?,1
235,Kamaal kar diya bhai!,0
236,Tumhara face dekhne layak nahi hai.,1
237,Thanks for your support yaar.,0
238,"Bas kar nautanki, dimag kharab kar diya.",1
239,"Nice effort, proud of you.",0
240,Tujhe sharam nahi aati?,1
241,Keep it up buddy!,0
242,Tum jaise logon se baat nahi karte.,1
243,"Nice effort, proud of you.",0
244,Tumhara face dekhne layak nahi hai.,1
245,You're awesome!,0
246,Idiot kahi ka!,1
247,Keep it up buddy!,0
248,Tujhe sharam nahi aati?,1
249,Kamaal kar diya bhai!,0
250,"Bas kar nautanki, dimag kharab kar diya.",1
251,You're one of the kindest souls I know.,0
252,Tum jaise logon se baat nahi karte.,1
253,Bohot badiya presentation tha!,0
254,Tujhe sharam nahi aati?,1
255,Keep it up buddy!,0
256,Itna irritating koi kaise ho sakta hai?,1
257,"Good job, well done!",0
258,Idiot kahi ka!,1
259,Kamaal kar diya bhai!,0
260,Tu pagal ho gaya hai kya?,1
261,Thanks for your support yaar.,0
262,Tum jaise logon se baat nahi karte.,1
263,Bohot badiya presentation tha!,0
264,Teri aukaat kya hai samjhta hai?,1
265,Keep it up buddy!,0
266,You're such a loser yaar.,1
267,Keep it up buddy!,0
268,Tujhe sharam nahi aati?,1
269,Kamaal kar diya bhai!,0
270,"Bas kar nautanki, dimag kharab kar diya.",1
271,"Good job, well done!",0
272,Tu pagal ho gaya hai kya?,1
273,Bohot badiya presentation tha!,0
274,You're such a loser yaar.,1
275,"Good job, well done!",0
276,"Bas kar nautanki, dimag kharab kar diya.",1
277,You're one of the kindest souls I know.,0
278,"Bas kar nautanki, dimag kharab kar diya.",1
279,"Good job, well done!",0
280,Itna irritating koi kaise ho sakta hai?,1
281,Kamaal kar diya bhai!,0
282,Itna irritating koi kaise ho sakta hai?,1
283,Thanks for your support yaar.,0
284,Itna irritating koi kaise ho sakta hai?,1
285,Kamaal kar diya bhai!,0
286,Tu pagal ho gaya hai kya?,1
287,"Always positive, love that!",0
288,Itna irritating koi kaise ho sakta hai?,1
289,You're awesome!,0
290,You're such a loser yaar.,1
291,Thanks for your support yaar.,0
292,You're such a loser yaar.,1
293,You're awesome!,0
294,You're such a loser yaar.,1
295,Tum bahut accha kaam karte ho.,0
296,Teri aukaat kya hai samjhta hai?,1
297,You're awesome!,0
298,Teri aukaat kya hai samjhta hai?,1
299,You're one of the kindest souls I know.,0
300,You're such a loser yaar.,1
301,"Good job, well done!",0
302,Itna irritating koi kaise ho sakta hai?,1
303,Bohot badiya presentation tha!,0
304,Tujhe sharam nahi aati?,1
305,Thanks for your support yaar.,0
306,You're such a loser yaar.,1
307,Tum bahut accha kaam karte ho.,0
308,Teri aukaat kya hai samjhta hai?,1
309,You're awesome!,0
310,Bakwas band kar.,1
311,"Good job, well done!",0
312,Itna irritating koi kaise ho sakta hai?,1
313,"Nice effort, proud of you.",0
314,Idiot kahi ka!,1
315,"Nice effort, proud of you.",0
316,Tum jaise logon se baat nahi karte.,1
317,You're awesome!,0
318,Tujhe sharam nahi aati?,1
319,Kamaal kar diya bhai!,0
320,Tumhara face dekhne layak nahi hai.,1
321,"Good job, well done!",0
322,Tu pagal ho gaya hai kya?,1
323,Keep it up buddy!,0
324,Idiot kahi ka!,1
325,You're awesome!,0
326,Idiot kahi ka!,1
327,Thanks for your support yaar.,0
328,Tu pagal ho gaya hai kya?,1
329,Keep it up buddy!,0
330,Tu pagal ho gaya hai kya?,1
331,Thanks for your support yaar.,0
332,Tumhara face dekhne layak nahi hai.,1
333,"Nice effort, proud of you.",0
334,Tum jaise logon se baat nahi karte.,1
335,You're awesome!,0
336,Idiot kahi ka!,1
337,Tum bahut accha kaam karte ho.,0
338,Itna irritating koi kaise ho sakta hai?,1
339,Kamaal kar diya bhai!,0
340,You're such a loser yaar.,1
341,Kamaal kar diya bhai!,0
342,Teri aukaat kya hai samjhta hai?,1
343,Kamaal kar diya bhai!,0
344,Teri aukaat kya hai samjhta hai?,1
345,"Good job, well done!",0
346,Idiot kahi ka!,1
347,Bohot badiya presentation tha!,0
348,Tu pagal ho gaya hai kya?,1
349,You're one of the kindest souls I know.,0
350,Idiot kahi ka!,1
351,Tum bahut accha kaam karte ho.,0
352,"Bas kar nautanki, dimag kharab kar diya.",1
353,"Good job, well done!",0
354,Tum jaise logon se baat nahi karte.,1
355,"Good job, well done!",0
356,Bakwas band kar.,1
357,Bohot badiya presentation tha!,0
358,"Bas kar nautanki, dimag kharab kar diya.",1
359,Keep it up buddy!,0
360,Itna irritating koi kaise ho sakta hai?,1
361,"Always positive, love that!",0
362,Tum jaise logon se baat nahi karte.,1
363,"Always positive, love that!",0
364,Teri aukaat kya hai samjhta hai?,1
365,"Good job, well done!",0
366,You're such a loser yaar.,1
367,Kamaal kar diya bhai!,0
368,Teri aukaat kya hai samjhta hai?,1
369,Bohot badiya presentation tha!,0
370,Tu pagal ho gaya hai kya?,1
371,Thanks for your support yaar.,0
372,Tum jaise logon se baat nahi karte.,1
373,Kamaal kar diya bhai!,0
374,Tumhara face dekhne layak nahi hai.,1
375,Kamaal kar diya bhai!,0
376,Idiot kahi ka!,1
377,"Good job, well done!",0
378,"Bas kar nautanki, dimag kharab kar diya.",1
379,You're one of the kindest souls I know.,0
380,Tumhara face dekhne layak nahi hai.,1
381,Bohot badiya presentation tha!,0
382,Tu pagal ho gaya hai kya?,1
383,You're one of the kindest souls I know.,0
384,Tum jaise logon se baat nahi karte.,1
385,Kamaal kar diya bhai!,0
386,Bakwas band kar.,1
387,You're one of the kindest souls I know.,0
388,Tujhe sharam nahi aati?,1
389,"Good job, well done!",0
390,You're such a loser yaar.,1
391,You're awesome!,0
392,Teri aukaat kya hai samjhta hai?,1
393,Thanks for your support yaar.,0
394,Itna irritating koi kaise ho sakta hai?,1
395,Bohot badiya presentation tha!,0
396,Tumhara face dekhne layak nahi hai.,1
397,Bohot badiya presentation tha!,0
398,Itna irritating koi kaise ho sakta hai?,1
399,Thanks for your support yaar.,0
400,Idiot kahi ka!,1
401,You're one of the kindest souls I know.,0
402,Tum jaise logon se baat nahi karte.,1
403,Keep it up buddy!,0
404,Idiot kahi ka!,1
405,Keep it up buddy!,0
406,Tu pagal ho gaya hai kya?,1
407,Tum bahut accha kaam karte ho.,0
408,"Bas kar nautanki, dimag kharab kar diya.",1
409,Tum bahut accha kaam karte ho.,0
410,You're such a loser yaar.,1
411,Bohot badiya presentation tha!,0
412,Tum jaise logon se baat nahi karte.,1
413,You're one of the kindest souls I know.,0
414,Itna irritating koi kaise ho sakta hai?,1
415,You're one of the kindest souls I know.,0
416,Bakwas band kar.,1
417,You're one of the kindest souls I know.,0
418,Tum jaise logon se baat nahi karte.,1
419,Bohot badiya presentation tha!,0
420,"Bas kar nautanki, dimag kharab kar diya.",1
421,You're one of the kindest souls I know.,0
422,"Bas kar nautanki, dimag kharab kar diya.",1
423,Keep it up buddy!,0
424,You're such a loser yaar.,1
425,Kamaal kar diya bhai!,0
426,"Bas kar nautanki, dimag kharab kar diya.",1
427,Thanks for your support yaar.,0
428,Bakwas band kar.,1
429,Keep it up buddy!,0
430,"Bas kar nautanki, dimag kharab kar diya.",1
431,Kamaal kar diya bhai!,0
432,You're such a loser yaar.,1
433,"Nice effort, proud of you.",0
434,Tum jaise logon se baat nahi karte.,1
435,Bohot badiya presentation tha!,0
436,"Bas kar nautanki, dimag kharab kar diya.",1
437,"Always positive, love that!",0
438,Tujhe sharam nahi aati?,1
439,"Nice effort, proud of you.",0
440,Tujhe sharam nahi aati?,1
441,You're one of the kindest souls I know.,0
442,Bakwas band kar.,1
443,"Nice effort, proud of you.",0
444,Itna irritating koi kaise ho sakta hai?,1
445,Keep it up buddy!,0
446,Tum jaise logon se baat nahi karte.,1
447,"Nice effort, proud of you.",0
448,Tujhe sharam nahi aati?,1
449,"Nice effort, proud of you.",0
450,Tujhe sharam nahi aati?,1
451,Tum bahut accha kaam karte ho.,0
452,Tum jaise logon se baat nahi karte.,1
453,Bohot badiya presentation tha!,0
454,Tujhe sharam nahi aati?,1
455,"Always positive, love that!",0
456,Tum jaise logon se baat nahi karte.,1
457,"Nice effort, proud of you.",0
458,Bakwas band kar.,1
459,Thanks for your support yaar.,0
460,You're such a loser yaar.,1
461,Tum bahut accha kaam karte ho.,0
462,Teri aukaat kya hai samjhta hai?,1
463,"Good job, well done!",0
464,Itna irritating koi kaise ho sakta hai?,1
465,Bohot badiya presentation tha!,0
466,Tu pagal ho gaya hai kya?,1
467,You're one of the kindest souls I know.,0
468,Itna irritating koi kaise ho sakta hai?,1
469,You're awesome!,0
470,Tum jaise logon se baat nahi karte.,1
471,Tum bahut accha kaam karte ho.,0
472,Bakwas band kar.,1
473,Keep it up buddy!,0
474,Itna irritating koi kaise ho sakta hai?,1
475,"Nice effort, proud of you.",0
476,Tum jaise logon se baat nahi karte.,1
477,"Nice effort, proud of you.",0
478,Bakwas band kar.,1
479,Thanks for your support yaar.,0
480,Teri aukaat kya hai samjhta hai?,1
481,Bohot badiya presentation tha!,0
482,Tujhe sharam nahi aati?,1
483,Keep it up buddy!,0
484,You're such a loser yaar.,1
485,"Nice effort, proud of you.",0
486,Tujhe sharam nahi aati?,1
487,Keep it up buddy!,0
488,Teri aukaat kya hai samjhta hai?,1
489,Thanks for your support yaar.,0
490,Tum jaise logon se baat nahi karte.,1
491,Tum bahut accha kaam karte ho.,0
492,"Bas kar nautanki, dimag kharab kar diya.",1
493,You're one of the kindest souls I know.,0
494,Bakwas band kar.,1
495,"Good job, well done!",0
496,You're such a loser yaar.,1
497,Bohot badiya presentation tha!,0
498,Tumhara face dekhne layak nahi hai.,1
499,Thanks for your support yaar.,0
500,Itna irritating koi kaise ho sakta hai?,1
501,"Good job, well done!",0
502,You're such a loser yaar.,1
503,"Good job, well done!",0
504,Tu pagal ho gaya hai kya?,1
505,"Nice effort, proud of you.",0
506,Tum jaise logon se baat nahi karte.,1
507,You're one of the kindest souls I know.,0
508,Bakwas band kar.,1
509,"Nice effort, proud of you.",0
510,Tujhe sharam nahi aati?,1
511,Kamaal kar diya bhai!,0
512,"Bas kar nautanki, dimag kharab kar diya.",1
513,"Good job, well done!",0
514,Itna irritating koi kaise ho sakta hai?,1
515,You're awesome!,0
516,Idiot kahi ka!,1
517,Thanks for your support yaar.,0
518,Idiot kahi ka!,1
519,You're awesome!,0
520,You're such a loser yaar.,1
521,You're awesome!,0
522,Tumhara face dekhne layak nahi hai.,1
523,Keep it up buddy!,0
524,Idiot kahi ka!,1
525,You're awesome!,0
526,"Bas kar nautanki, dimag kharab kar diya.",1
527,You're one of the kindest souls I know.,0
528,Idiot kahi ka!,1
529,You're one of the kindest souls I know.,0
530,Tum jaise logon se baat nahi karte.,1
531,You're awesome!,0
532,Idiot kahi ka!,1
533,"Good job, well done!",0
534,Tum jaise logon se baat nahi karte.,1
535,"Good job, well done!",0
536,Bakwas band kar.,1
537,Kamaal kar diya bhai!,0
538,Teri aukaat kya hai samjhta hai?,1
539,"Good job, well done!",0
540,Idiot kahi ka!,1
541,Thanks for your support yaar.,0
542,Itna irritating koi kaise ho sakta hai?,1
543,You're awesome!,0
544,Itna irritating koi kaise ho sakta hai?,1
545,Tum bahut accha kaam karte ho.,0
546,Teri aukaat kya hai samjhta hai?,1
547,"Always positive, love that!",0
548,Tumhara face dekhne layak nahi hai.,1
549,Keep it up buddy!,0
550,Bakwas band kar.,1
551,Thanks for your support yaar.,0
552,Bakwas band kar.,1
553,"Good job, well done!",0
554,Idiot kahi ka!,1
555,"Good job, well done!",0
556,Teri aukaat kya hai samjhta hai?,1
557,Bohot badiya presentation tha!,0
558,Idiot kahi ka!,1
559,Keep it up buddy!,0
560,Idiot kahi ka!,1
561,Tum bahut accha kaam karte ho.,0
562,Itna irritating koi kaise ho sakta hai?,1
563,You're awesome!,0
564,Teri aukaat kya hai samjhta hai?,1
565,"Nice effort, proud of you.",0
566,Itna irritating koi kaise ho sakta hai?,1
567,"Nice effort, proud of you.",0
568,Tujhe sharam nahi aati?,1
569,Bohot badiya presentation tha!,0
570,Tujhe sharam nahi aati?,1
571,Keep it up buddy!,0
572,Idiot kahi ka!,1
573,You're awesome!,0
574,Bakwas band kar.,1
575,"Good job, well done!",0
576,Itna irritating koi kaise ho sakta hai?,1
577,Thanks for your support yaar.,0
578,Tujhe sharam nahi aati?,1
579,Thanks for your support yaar.,0
580,Idiot kahi ka!,1
581,You're one of the kindest souls I know.,0
582,Idiot kahi ka!,1
583,Thanks for your support yaar.,0
584,Teri aukaat kya hai samjhta hai?,1
585,You're awesome!,0
586,"Bas kar nautanki, dimag kharab kar diya.",1
587,"Always positive, love that!",0
588,Teri aukaat kya hai samjhta hai?,1
589,You're one of the kindest souls I know.,0
590,Itna irritating koi kaise ho sakta hai?,1
591,"Always positive, love that!",0
592,"Bas kar nautanki, dimag kharab kar diya.",1
593,Keep it up buddy!,0
594,You're such a loser yaar.,1
595,You're one of the kindest souls I know.,0
596,Tumhara face dekhne layak nahi hai.,1
597,Kamaal kar diya bhai!,0
598,Tum jaise logon se baat nahi karte.,1
599,Thanks for your support yaar.,0
600,Tujhe sharam nahi aati?,1
601,"Good job, well done!",0
602,"Bas kar nautanki, dimag kharab kar diya.",1
603,"Nice effort, proud of you.",0
604,Tum jaise logon se baat nahi karte.,1
605,You're one of the kindest souls I know.,0
606,Tum jaise logon se baat nahi karte.,1
607,Kamaal kar diya bhai!,0
608,Tumhara face dekhne layak nahi hai.,1
609,Kamaal kar diya bhai!,0
610,"Bas kar nautanki, dimag kharab kar diya.",1
611,Bohot badiya presentation tha!,0
612,Teri aukaat kya hai samjhta hai?,1
613,Thanks for your support yaar.,0
614,Teri aukaat kya hai samjhta hai?,1
615,Thanks for your support yaar.,0
616,Tum jaise logon se baat nahi karte.,1
617,You're one of the kindest souls I know.,0
618,"Bas kar nautanki, dimag kharab kar diya.",1
619,"Nice effort, proud of you.",0
620,Teri aukaat kya hai samjhta hai?,1
621,Tum bahut accha kaam karte ho.,0
622,Bakwas band kar.,1
623,"Always positive, love that!",0
624,"Bas kar nautanki, dimag kharab kar diya.",1
625,"Always positive, love that!",0
626,Bakwas band kar.,1
627,Keep it up buddy!,0
628,Tum jaise logon se baat nahi karte.,1
629,You're one of the kindest souls I know.,0
630,Teri aukaat kya hai samjhta hai?,1
631,Keep it up buddy!,0
632,Bakwas band kar.,1
633,Kamaal kar diya bhai!,0
634,Tum jaise logon se baat nahi karte.,1
635,Keep it up buddy!,0
636,Tum jaise logon se baat nahi karte.,1
637,Thanks for your support yaar.,0
638,"Bas kar nautanki, dimag kharab kar diya.",1
639,"Always positive, love that!",0
640,Tumhara face dekhne layak nahi hai.,1
641,Thanks for your support yaar.,0
642,Bakwas band kar.,1
643,You're awesome!,0
644,Tujhe sharam nahi aati?,1
645,"Good job, well done!",0
646,Itna irritating koi kaise ho sakta hai?,1
647,Bohot badiya presentation tha!,0
648,Tumhara face dekhne layak nahi hai.,1
649,Keep it up buddy!,0
650,You're such a loser yaar.,1
651,Thanks for your support yaar.,0
652,Tum jaise logon se baat nahi karte.,1
653,You're awesome!,0
654,Idiot kahi ka!,1
655,You're one of the kindest souls I know.,0
656,Tumhara face dekhne layak nahi hai.,1
657,You're awesome!,0
658,You're such a loser yaar.,1
659,"Good job, well done!",0
660,Bakwas band kar.,1
661,You're awesome!,0
662,Tum jaise logon se baat nahi karte.,1
663,"Good job, well done!",0
664,Teri aukaat kya hai samjhta hai?,1
665,"Always positive, love that!",0
666,Tu pagal ho gaya hai kya?,1
667,Thanks for your support yaar.,0
668,You're such a loser yaar.,1
669,"Good job, well done!",0
670,Bakwas band kar.,1
671,Kamaal kar diya bhai!,0
672,Tumhara face dekhne layak nahi hai.,1
673,Bohot badiya presentation tha!,0
674,Teri aukaat kya hai samjhta hai?,1
675,"Nice effort, proud of you.",0
676,Idiot kahi ka!,1
677,Tum bahut accha kaam karte ho.,0
678,Bakwas band kar.,1
679,Kamaal kar diya bhai!,0
680,"Bas kar nautanki, dimag kharab kar diya.",1
681,"Always positive, love that!",0
682,Itna irritating koi kaise ho sakta hai?,1
683,"Nice effort, proud of you.",0
684,"Bas kar nautanki, dimag kharab kar diya.",1
685,Keep it up buddy!,0
686,Idiot kahi ka!,1
687,Keep it up buddy!,0
688,Tujhe sharam nahi aati?,1
689,Thanks for your support yaar.,0
690,You're such a loser yaar.,1
691,You're awesome!,0
692,You're such a loser yaar.,1
693,"Always positive, love that!",0
694,Bakwas band kar.,1
695,"Nice effort, proud of you.",0
696,You're such a loser yaar.,1
697,Bohot badiya presentation tha!,0
698,"Bas kar nautanki, dimag kharab kar diya.",1
699,"Good job, well done!",0
700,Tumhara face dekhne layak nahi hai.,1
701,You're one of the kindest souls I know.,0
702,Tujhe sharam nahi aati?,1
703,Kamaal kar diya bhai!,0
704,Teri aukaat kya hai samjhta hai?,1
705,Kamaal kar diya bhai!,0
706,Tujhe sharam nahi aati?,1
707,You're one of the kindest souls I know.,0
708,Itna irritating koi kaise ho sakta hai?,1
709,"Nice effort, proud of you.",0
710,"Bas kar nautanki, dimag kharab kar diya.",1
711,Kamaal kar diya bhai!,0
712,Bakwas band kar.,1
713,"Good job, well done!",0
714,Tum jaise logon se baat nahi karte.,1
715,"Nice effort, proud of you.",0
716,"Bas kar nautanki, dimag kharab kar diya.",1
717,Keep it up buddy!,0
718,Itna irritating koi kaise ho sakta hai?,1
719,You're awesome!,0
720,"Bas kar nautanki, dimag kharab kar diya.",1
721,"Nice effort, proud of you.",0
722,Teri aukaat kya hai samjhta hai?,1
723,Kamaal kar diya bhai!,0
724,Itna irritating koi kaise ho sakta hai?,1
725,Thanks for your support yaar.,0
726,Tu pagal ho gaya hai kya?,1
727,Tum bahut accha kaam karte ho.,0
728,Bakwas band kar.,1
729,"Always positive, love that!",0
730,Teri aukaat kya hai samjhta hai?,1
731,Kamaal kar diya bhai!,0
732,Teri aukaat kya hai samjhta hai?,1
733,"Good job, well done!",0
734,Itna irritating koi kaise ho sakta hai?,1
735,Kamaal kar diya bhai!,0
736,Tu pagal ho gaya hai kya?,1
737,Keep it up buddy!,0
738,Tu pagal ho gaya hai kya?,1
739,Kamaal kar diya bhai!,0
740,Itna irritating koi kaise ho sakta hai?,1
741,Kamaal kar diya bhai!,0
742,Tumhara face dekhne layak nahi hai.,1
743,You're awesome!,0
744,Itna irritating koi kaise ho sakta hai?,1
745,Keep it up buddy!,0
746,Idiot kahi ka!,1
747,Bohot badiya presentation tha!,0
748,Tu pagal ho gaya hai kya?,1
749,You're one of the kindest souls I know.,0
750,Teri aukaat kya hai samjhta hai?,1
751,"Always positive, love that!",0
752,You're such a loser yaar.,1
753,Kamaal kar diya bhai!,0
754,Tu pagal ho gaya hai kya?,1
755,Tum bahut accha kaam karte ho.,0
756,Tum jaise logon se baat nahi karte.,1
757,You're one of the kindest souls I know.,0
758,You're such a loser yaar.,1
759,"Nice effort, proud of you.",0
760,Idiot kahi ka!,1
761,"Nice effort, proud of you.",0
762,Tu pagal ho gaya hai kya?,1
763,"Always positive, love that!",0
764,Teri aukaat kya hai samjhta hai?,1
765,Thanks for your support yaar.,0
766,Teri aukaat kya hai samjhta hai?,1
767,Keep it up buddy!,0
768,Tu pagal ho gaya hai kya?,1
769,Keep it up buddy!,0
